91, ja lubię , I like
92, ty lubisz , You like
93, Co to ciebie , What about you?
94, Oni mieszkają , They live
95, łatwo , Easy
96, My mieszkamy , We live
97, Czy oni tańczą salsę? , Do they dance salsa?
98, Wy mieszkacie w Warszawie , You live in Warsaw
99, Palicie , You smoke
100, My , We
101, Ona lubi , She likes
102, Oni lubią , They like
103, On lubi , He likes
104, One lubią , They like
105, Oni nie palą , They do not smoke
106, Ja cieszyć się , I enjoy
107, Smutna , Sad
108, Myśleć , To think
109, Wysoki , Tall
110, Niski , Short
111, Trudny , Difficult
112, Zdrowy , Healthy
113, Chora , Sick
114, Brudna , Dirty
115, Czysta , Clean
116, Gruby , Fat
117, Szczupły , Slim
118, Młody , Young
119, Stary , Old
120, Ładny , Pretty
121, Brzydki , Ugly
122, Zmęczony , Tired
123, Leniwa , Lazy
124, Piękna i Smutna , Beautiful and sad
125, Ciekawe, jaki on jest , I wonder what he is like
126, Umie szybko decydować , He can decide quickly
127, Zdecydowany , Decisive
128, Wie, ile jest warty i jakie ma możliwości , He knows how much he is worth and what he is capable of
129, Nie lubi mówić o swoich uczuciach , He does not like to talk about his feelings
130, Otwarta , Open
131, Chaotyczny , Chaotic
132, Uczuciach , Feelings
133, Towarzyski , Sociable
134, Ciekawy , Curious
135, Energiczny , Energetic
136, Romanticzny , Romantic
137, Życzliwość , Kindness
138, Szczery , Honest
139, Wesoły , Cheerful
140, Nie pamiętam dobrze , I do not remember well
141, Jestem pewny że ona jest energiczna, spontaniczna i bardzo sympatyczna , I am sure she is energetic, spontaneous and very nice
142, Atrakcyjna , Attractive
143, Zdanie , Sentence
144, 11 , Jedenaście, Yedenashchie
145, 12 , Dwanaście, Dvanashchie
146, 13 , Trzynaście, Trinashchie
147, 14 , Czternaście, Chetirnashchie
148, 15 , Piętnaście, 
149, 16 , Szesnaście
150, 17 , Siedemnaście
151, 18 , Osiemnaście
152, 19 , Dziewiętnaście
153, 20 , Dwadzieścia
154, 10 , Dziesięć
155, 20 , Dwadzieścia
156, 30 , Trzydzieści
157, 40 , Czterdzieści
158, 50 , Pięćdziesiąt
159, 60 , Sześćdziesiąt
160, 70 , Siedemdziesiąt
161, 80 , Osiemdziesiąt
162, 90 , Dziewięćdziesiąt
163, 100 , Sto
164, Ile masz lat? , How old are you?
165, Mam 24 lata , I am 20 years old
166, Mam 25 lat , I am 25 years old
167, Mam 22 lata , I am 22 years old
168, Mam 23 lata , I am 23 years old
169, Mam 21 lat , I am 21 years old
170, Aktor , Actor
171, Aktorka , Actress
172, Piosenkarz , Singer
173, Piosenkarka , Singer
174, Muzyk , Musician
175, Zawody , Professions, Zaaavody
176, Lekarz , Doctor
177, Kucharz , Cook, kukharz
178, Inżynier , Engineer, Inzineer
179, Policjant , Policeman, Politsyant
180, Dziennikarz , Journalist, 
181, Kelner , Waiter
182, Informatyk , IT specialist
183, Rolnik , Farmer
184, Sprzedawca , Salesman, 
185, Emeryt , Pensioner
186, Kelner , Waiter
187, Tancerz , Dancer, Taanserka
188, Urzędnik , Clerk, 
189, Kim jesteś? , Who are you?
190, Jestem Analitykiem Ryzyka, I am a Risk analyst
191, Żona, Wife
192, Syn, Son, Sen
193, Skomplikowany, Complicated
194, Gram na gitarze, I play the guitar
196, Tu jest moja rodzina, Here is my family
197, Utalentowana, Talented, Ootalentovana
198. Księgowa, Accountant, Ksyegova
199, Krawiec, Tailor, Krawiets
200, Stolarz, Carpenter, Stolarz
201, Kierowca, Driver, Kierovtsa
202, Listonosz, Postman, Listonosh
203, Strażak, Fireman, Strazhak
204, Pielęgniarka, Nurse, Pieliegnarka
205, Grają na gitarze, They play the guitar
